Time	InhDendSyn0	InhDendSyn1	InhSomaSyn0	ExcSyn0	ExcSyn1	ExcSyn2
1127.19	0.000000	0.000000	0.000000	-0.102912	-0.104899	-0.110601
1128.09	0.000000	0.000000	0.000000	-0.102780	-0.104815	-0.110526
1129	0.000000	0.000000	0.000000	-0.102644	-0.104732	-0.110452
1129.9	0.000000	0.000000	0.000000	-0.102505	-0.104648	-0.110378
1130.8	0.000000	0.000000	0.000000	-0.102363	-0.104564	-0.110304
1131.71	0.000000	0.000000	0.000000	-0.102217	-0.104480	-0.110230
1132.61	0.000000	0.000000	0.000000	-0.102067	-0.104395	-0.110157
1133.51	0.000000	0.000000	0.000000	-0.101826	-0.104262	-0.110041
1134.42	0.000000	0.000000	0.000000	-0.101574	-0.104128	-0.109925
1135.32	0.000000	0.000000	0.000000	-0.101313	-0.103992	-0.109809
1136.22	0.000000	0.000000	0.000000	-0.101041	-0.103856	-0.109693
1137.13	0.000000	0.000000	0.000000	-0.100759	-0.103719	-0.109578
1138.03	0.000000	0.000000	0.000000	-0.100465	-0.103580	-0.109463
1138.93	0.000000	0.000000	0.000000	-0.100158	-0.103440	-0.109347
1139.84	0.000000	0.000000	0.000000	-0.099840	-0.103299	-0.109232
1140.74	0.000000	0.000000	0.000000	-0.099508	-0.103156	-0.109117
1141.64	0.000000	0.000000	0.000000	-0.099162	-0.103011	-0.109003
1142.55	0.000000	0.000000	0.000000	-0.098802	-0.102864	-0.108888
1143.45	0.000000	0.000000	0.000000	-0.098429	-0.102715	-0.108773
1144.35	0.000000	0.000000	0.000000	-0.098041	-0.102564	-0.108659
1145.25	0.000000	0.000000	0.000000	-0.097638	-0.102410	-0.108544
1146.16	0.000000	0.000000	0.000000	-0.097223	-0.102254	-0.108430
1147.06	0.000000	0.000000	0.000000	-0.096795	-0.102095	-0.108316
1147.96	0.000000	0.000000	0.000000	-0.096355	-0.101933	-0.108202
1148.87	0.000000	0.000000	0.000000	-0.095905	-0.101768	-0.108088
1149.77	0.000000	0.000000	0.000000	-0.095446	-0.101600	-0.107974
1150.67	0.000000	0.000000	0.000000	-0.094979	-0.101428	-0.107861
1151.58	0.000000	0.000000	0.000000	-0.094506	-0.101252	-0.107747
1152.48	0.000000	0.000000	0.000000	-0.094029	-0.101073	-0.107634
1153.38	0.000000	0.000000	0.000000	-0.093548	-0.100890	-0.107520
1154.29	0.000000	0.000000	0.000000	-0.092738	-0.100574	-0.107331
1155.19	0.000000	0.000000	0.000000	-0.091925	-0.100246	-0.107142
1156.09	0.000000	0.000000	0.000000	-0.091113	-0.099906	-0.106953
1157	0.000000	0.000000	0.000000	-0.090304	-0.099553	-0.106764
1157.9	0.000000	0.000000	0.000000	-0.089501	-0.099187	-0.106576
1158.8	0.000000	0.000000	0.000000	-0.088703	-0.098808	-0.106388
1159.71	0.000000	0.000000	0.000000	-0.087913	-0.098415	-0.106201
1160.61	0.000000	0.000000	0.000000	-0.087130	-0.098009	-0.106014
1161.51	0.000000	0.000000	0.000000	-0.086355	-0.097588	-0.105827
1162.42	0.000000	0.000000	0.000000	-0.085191	-0.096919	-0.105543
1163.32	0.000000	0.000000	0.000000	-0.084046	-0.096215	-0.105259
1164.22	0.000000	0.000000	0.000000	-0.082921	-0.095474	-0.104977
1165.13	0.000000	0.000000	0.000000	-0.081816	-0.094692	-0.104695
1166.03	0.000000	0.000000	0.000000	-0.080730	-0.093868	-0.104414
1166.93	0.000000	0.000000	0.000000	-0.079663	-0.092999	-0.104133
1167.83	0.000000	0.000000	0.000000	-0.078615	-0.092085	-0.103854
1168.74	0.000000	0.000000	0.000000	-0.077586	-0.091125	-0.103575
1169.64	0.000000	0.000000	0.000000	-0.076576	-0.090121	-0.103297
1170.54	0.000000	0.000000	0.000000	-0.075586	-0.089075	-0.103019
1171.45	0.000000	0.000000	0.000000	-0.074616	-0.087991	-0.102743
1172.35	0.000000	0.000000	0.000000	-0.073667	-0.086872	-0.102467
1173.25	0.000000	0.000000	0.000000	-0.072740	-0.085721	-0.102192
1174.16	0.000000	0.000000	0.000000	-0.071833	-0.084541	-0.101917
1175.06	0.000000	0.000000	0.000000	-0.070949	-0.083334	-0.101644
1175.96	0.000000	0.000000	0.000000	-0.069631	-0.081424	-0.101223
1176.87	0.000000	0.000000	0.000000	-0.068365	-0.079449	-0.100805
1177.77	0.000000	0.000000	0.000000	-0.067152	-0.077398	-0.100388
1178.67	0.000000	0.000000	0.000000	-0.065992	-0.075252	-0.099973
1179.58	0.000000	0.000000	0.000000	-0.064883	-0.072978	-0.099559
1180.48	0.000000	0.000000	0.000000	-0.063825	-0.070538	-0.099148
1181.38	0.000000	0.000000	0.000000	-0.062816	-0.067885	-0.098737
1182.29	0.000000	0.000000	0.000000	-0.062141	-0.065885	-0.098452
1183.19	0.000000	0.000000	0.000000	-0.061488	-0.063755	-0.098168
1184.09	0.000000	0.000000	0.000000	-0.060858	-0.061497	-0.097884
1185	0.000000	0.000000	0.000000	-0.060248	-0.059123	-0.097601
1185.9	0.000000	0.000000	0.000000	-0.059660	-0.056655	-0.097319
1186.8	0.000000	0.000000	0.000000	-0.059092	-0.054121	-0.097037
1187.71	0.000000	0.000000	0.000000	-0.058544	-0.051548	-0.096757
1188.61	0.000000	0.000000	0.000000	-0.058015	-0.048961	-0.096477
1189.51	0.000000	0.000000	0.000000	-0.057505	-0.046375	-0.096198
1190.41	0.000000	0.000000	0.000000	-0.057012	-0.043797	-0.095919
1191.32	0.000000	0.000000	0.000000	-0.056537	-0.041223	-0.095642
1192.22	0.000000	0.000000	0.000000	-0.056079	-0.038641	-0.095365
1193.12	0.000000	0.000000	0.000000	-0.055638	-0.036032	-0.095088
1194.03	0.000000	0.000000	0.000000	-0.054996	-0.031938	-0.094669
1194.93	0.000000	0.000000	0.000000	-0.054390	-0.027590	-0.094251
1195.83	0.000000	0.000000	0.000000	-0.053819	-0.022833	-0.093834
1196.74	0.000000	0.000000	0.000000	-0.053282	-0.017494	-0.093419
1197.64	0.000000	0.000000	0.000000	-0.052776	-0.011413	-0.093006
1198.54	0.000000	0.000000	0.000000	-0.052302	-0.004492	-0.092594
1199.45	0.000000	0.000000	0.000000	-0.051857	0.003194	-0.092184
1200.35	0.000000	0.000000	0.000000	-0.051440	0.011336	-0.091775
1201.25	0.000000	0.000000	0.000000	-0.051050	0.019370	-0.091367
1202.16	0.000000	0.000000	0.000000	-0.050687	0.026650	-0.090961
1203.06	0.000000	0.000000	0.000000	-0.050453	0.030874	-0.090686
1203.96	0.000000	0.000000	0.000000	-0.050230	0.034407	-0.090410
1204.87	0.000000	0.000000	0.000000	-0.050018	0.037246	-0.090136
1205.77	0.000000	0.000000	0.000000	-0.049815	0.039439	-0.089862
1206.67	0.000000	0.000000	0.000000	-0.049622	0.041057	-0.089588
1207.58	0.000000	0.000000	0.000000	-0.049438	0.042182	-0.089316
1208.48	0.000000	0.000000	0.000000	-0.049263	0.042894	-0.089043
1209.38	0.000000	0.000000	0.000000	-0.049096	0.043269	-0.088771
1210.29	0.000000	0.000000	0.000000	-0.048936	0.043370	-0.088500
1211.19	0.000000	0.000000	0.000000	-0.048784	0.043252	-0.088229
1212.09	0.000000	0.000000	0.000000	-0.048566	0.042751	-0.087816
1212.99	0.000000	0.000000	0.000000	-0.048363	0.041977	-0.087405
1213.9	0.000000	0.000000	0.000000	-0.048173	0.041032	-0.086994
1214.8	0.000000	0.000000	0.000000	-0.047996	0.040000	-0.086584
1215.7	0.000000	0.000000	0.000000	-0.047831	0.038948	-0.086175
1216.61	0.000000	0.000000	0.000000	-0.047676	0.037933	-0.085767
1217.51	0.000000	0.000000	0.000000	-0.047532	0.036996	-0.085359
1218.41	0.000000	0.000000	0.000000	-0.047396	0.036166	-0.084951
1219.32	0.000000	0.000000	0.000000	-0.047268	0.035456	-0.084545
1220.22	0.000000	0.000000	0.000000	-0.047148	0.034856	-0.084138
1221.12	0.000000	0.000000	0.000000	-0.047034	0.034344	-0.083732
1222.03	0.000000	0.000000	0.000000	-0.046927	0.033883	-0.083326
1222.93	0.000000	0.000000	0.000000	-0.046825	0.033439	-0.082920
1223.83	0.000000	0.000000	0.000000	-0.046729	0.032980	-0.082514
1224.74	0.000000	0.000000	0.000000	-0.046637	0.032484	-0.082108
1225.64	0.000000	0.000000	0.000000	-0.046549	0.031938	-0.081702
1226.54	0.000000	0.000000	0.000000	-0.046466	0.031335	-0.081296
1227.45	0.000000	0.000000	0.000000	-0.046386	0.030673	-0.080889
1228.35	0.000000	0.000000	0.000000	-0.046309	0.029954	-0.080482
1229.25	0.000000	0.000000	0.000000	-0.046234	0.029184	-0.080074
1230.16	0.000000	0.000000	0.000000	-0.046163	0.028368	-0.079666
1231.06	0.000000	0.000000	0.000000	-0.046094	0.027515	-0.079257
1231.96	0.000000	0.000000	0.000000	-0.046027	0.026631	-0.078847
1232.87	0.000000	0.000000	0.000000	-0.045962	0.025726	-0.078437
1233.77	0.000000	0.000000	0.000000	-0.045898	0.024805	-0.078025
1234.67	0.000000	0.000000	0.000000	-0.045780	0.023020	-0.077232
1235.57	0.000000	0.000000	0.000000	-0.045701	0.021786	-0.076679
1236.48	0.000000	0.000000	0.000000	-0.045623	0.020571	-0.076124
1237.38	0.000000	0.000000	0.000000	-0.045546	0.019380	-0.075568
1238.28	0.000000	0.000000	0.000000	-0.045471	0.018217	-0.075009
1239.19	0.000000	0.000000	0.000000	-0.045396	0.017085	-0.074449
1240.09	0.000000	0.000000	0.000000	-0.045321	0.015982	-0.073887
1240.99	0.000000	0.000000	0.000000	-0.045246	0.014909	-0.073323
1241.9	0.000000	0.000000	0.000000	-0.045172	0.013862	-0.072759
1242.8	0.000000	0.000000	0.000000	-0.045096	0.012840	-0.072193
1243.7	0.000000	0.000000	0.000000	-0.045021	0.011841	-0.071627
1244.61	0.000000	0.000000	0.000000	-0.044906	0.010377	-0.070776
1245.51	0.000000	0.000000	0.000000	-0.044789	0.008954	-0.069926
1246.41	0.000000	0.000000	0.000000	-0.044669	0.007567	-0.069076
1247.32	0.000000	0.000000	0.000000	-0.044547	0.006214	-0.068229
1248.22	0.000000	0.000000	0.000000	-0.044421	0.004894	-0.067385
1249.12	0.000000	0.000000	0.000000	-0.044292	0.003605	-0.066545
1250.03	0.000000	0.000000	0.000000	-0.044159	0.002348	-0.065710
1250.93	0.000000	0.000000	0.000000	-0.044022	0.001123	-0.064880
1251.83	0.000000	0.000000	0.000000	-0.043882	-0.000068	-0.064056
1252.74	0.000000	0.000000	0.000000	-0.043737	-0.001225	-0.063239
1253.64	0.000000	0.000000	0.000000	-0.043588	-0.002347	-0.062428
1254.54	0.000000	0.000000	0.000000	-0.043434	-0.003432	-0.061626
1255.45	0.000000	0.000000	0.000000	-0.043277	-0.004481	-0.060831
1256.35	0.000000	0.000000	0.000000	-0.043115	-0.005492	-0.060044
1257.25	0.000000	0.000000	0.000000	-0.042950	-0.006465	-0.059266
1258.15	0.000000	0.000000	0.000000	-0.042780	-0.007401	-0.058496
1259.06	0.000000	0.000000	0.000000	-0.042606	-0.008297	-0.057735
1259.96	0.000000	0.000000	0.000000	-0.042429	-0.009156	-0.056984
1260.86	0.000000	0.000000	0.000000	-0.042248	-0.009977	-0.056241
1261.77	0.000000	0.000000	0.000000	-0.042063	-0.010760	-0.055508
1262.67	0.000000	0.000000	0.000000	-0.041874	-0.011506	-0.054785
1263.57	0.000000	0.000000	0.000000	-0.041682	-0.012217	-0.054070
1264.48	0.000000	0.000000	0.000000	-0.041487	-0.012892	-0.053366
1265.38	0.000000	0.000000	0.000000	-0.041288	-0.013533	-0.052671
1266.28	0.000000	0.000000	0.000000	-0.041087	-0.014140	-0.051985
1267.19	0.000000	0.000000	0.000000	-0.040883	-0.014716	-0.051309
1268.09	0.000000	0.000000	0.000000	-0.040676	-0.015260	-0.050643
1268.99	0.000000	0.000000	0.000000	-0.040533	-0.015614	-0.050195
1269.9	0.000000	0.000000	0.000000	-0.040389	-0.015954	-0.049751
1270.8	0.000000	0.000000	0.000000	-0.040244	-0.016282	-0.049311
1271.7	0.000000	0.000000	0.000000	-0.040098	-0.016596	-0.048876
1272.61	0.000000	0.000000	0.000000	-0.039951	-0.016898	-0.048445
1273.51	0.000000	0.000000	0.000000	-0.039803	-0.017189	-0.048019
1274.41	0.000000	0.000000	0.000000	-0.039654	-0.017467	-0.047597
1275.32	0.000000	0.000000	0.000000	-0.039504	-0.017735	-0.047179
1276.22	0.000000	0.000000	0.000000	-0.039354	-0.017992	-0.046766
1277.12	0.000000	0.000000	0.000000	-0.039202	-0.018238	-0.046357
1278.03	0.000000	0.000000	0.000000	-0.039050	-0.018474	-0.045952
1278.93	0.000000	0.000000	0.000000	-0.038896	-0.018700	-0.045552
1279.83	0.000000	0.000000	0.000000	-0.038743	-0.018917	-0.045156
1280.73	0.000000	0.000000	0.000000	-0.038588	-0.019124	-0.044764
1281.64	0.000000	0.000000	0.000000	-0.038433	-0.019323	-0.044377
1282.54	0.000000	0.000000	0.000000	-0.038277	-0.019513	-0.043993
1283.44	0.000000	0.000000	0.000000	-0.038121	-0.019695	-0.043614
1284.35	0.000000	0.000000	0.000000	-0.037964	-0.019869	-0.043239
1285.25	0.000000	0.000000	0.000000	-0.037806	-0.020035	-0.042868
1286.15	0.000000	0.000000	0.000000	-0.037553	-0.020286	-0.042281
1287.06	0.000000	0.000000	0.000000	-0.037298	-0.020518	-0.041705
1287.96	0.000000	0.000000	0.000000	-0.037043	-0.020733	-0.041140
1288.86	0.000000	0.000000	0.000000	-0.036786	-0.020932	-0.040584
1289.77	0.000000	0.000000	0.000000	-0.036529	-0.021115	-0.040038
1290.67	0.000000	0.000000	0.000000	-0.036271	-0.021283	-0.039502
1291.57	0.000000	0.000000	0.000000	-0.036013	-0.021438	-0.038976
1292.48	0.000000	0.000000	0.000000	-0.035754	-0.021578	-0.038460
1293.38	0.000000	0.000000	0.000000	-0.035270	-0.021808	-0.037519
1294.28	0.000000	0.000000	0.000000	-0.034785	-0.021996	-0.036611
1295.19	0.000000	0.000000	0.000000	-0.034301	-0.022147	-0.035734
1296.09	0.000000	0.000000	0.000000	-0.033817	-0.022264	-0.034887
1296.99	0.000000	0.000000	0.000000	-0.033334	-0.022349	-0.034068
1297.9	0.000000	0.000000	0.000000	-0.032853	-0.022406	-0.033278
1298.8	0.000000	0.000000	0.000000	-0.032374	-0.022435	-0.032515
1299.7	0.000000	0.000000	0.000000	-0.031897	-0.022440	-0.031778
1300.6	0.000000	0.000000	0.000000	-0.031423	-0.022423	-0.031065
1301.51	0.000000	0.000000	0.000000	-0.030952	-0.022385	-0.030377
1302.41	0.000000	0.000000	0.000000	-0.030485	-0.022329	-0.029711
1303.31	0.000000	0.000000	0.000000	-0.030021	-0.022255	-0.029068
1304.22	0.000000	0.000000	0.000000	-0.029560	-0.022165	-0.028445
1305.12	0.000000	0.000000	0.000000	-0.029104	-0.022060	-0.027843
1306.02	0.000000	0.000000	0.000000	-0.028652	-0.021942	-0.027260
1306.93	0.000000	0.000000	0.000000	-0.028205	-0.021811	-0.026695
